 ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Year on year growth rate,,NA,+129%,-64%,+396%,-28%,+169%,-25%,+9%,+28%,+193%,+71%
Total number of one-on-one calls,,34,78,28,139,100,269,233,569,471,831,"1,425"
Year on year growth rate,,NA,+129%,-64%,+396%,-28%,+169%,-13%,+144%,-17%,+76%,+71%
Advising calls per application,,NA,NA,NA,NA,NA,0.21,0.32,0.28,0.31,0.38,0.25
Year on year growth rate,,NA,NA,NA,NA,NA,NA,+53%,-11%,+10%,+21%,-34%
Fraction of calls worth having,,NA,NA,NA,NA,NA,NA,NA,NA,67%,73%,70%
Year on year change,,NA,NA,NA,NA,NA,NA,NA,NA,NA,+9%,-4%
Average usefulness rating 1-7,,NA,NA,NA,NA,NA,5.86,5.89,5.79,6.37,5.97,5.88
Year on year change,,NA,NA,NA,NA,NA,NA,+1%,-2%,+10%,-6%,-2%
,,,,,,,,,,,,
,,,,,,,,,,,,
Overall org,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Primary staff FTE on senior management,0.0,0.1,0.3,0.3,0.5,0.4,0.5,0.7,0.8,0.7,1.4,1.4
Primary staff FTE direct on programmes,0.0,0.3,1.7,1.5,2.3,3.6,5.0,6.6,8.1,9.9,10.1,15.0
Primary staff FTE on supporting (inc share of EV ops),0.0,0.3,0.8,0.8,1.0,1.2,1.2,1.7,2.9,3.2,2.9,4.4
Primary staff FTE  and share EV Ops,0.0,0.7,2.8,2.6,3.8,5.2,6.7,8.9,11.8,13.8,14.5,20.7
Supporting as proportion of core,NA,NA,+329%,-8%,+47%,+37%,+28%,+34%,+32%,+17%,+5%,+43%
"Labour costs (in person-years, including other team members)",1.7,3.4,7.5,4.9,5.0,5.5,7.8,10.1,12.5,14.7,16.2,23.4
Year on year growth rate,NA,+100%,+121%,-35%,+2%,+10%,+42%,+30%,+24%,+18%,+10%,+44%
"Financial costs converted to USD, calendar year (estimate)", $ -   ," $ 57,721 "," $ 163,108 "," $ 229,133 "," $ 347,950 "," $ 470,574 "," $ 751,480 "," $ 1,294,124 "," $ 2,390,000 "," $ 3,150,000 "," $ 3,410,000 "," $ 6,660,000 "
Year on year growth rate,NA,NA,+183%,+40%,+52%,+35%,+60%,+72%,+85%,+32%,+8%,+95%
